id,date,index_name,tenor,spread_bps,series_number,bloomberg_ticker
15142,2022-06-21,US_HY,7Y,593.392,38,CDXHY738 BEST Curncy
15140,2022-06-21,US_HY,3Y,576.961,38,CDXHY338 BEST Curncy
15139,2022-06-21,US_IG,5Y,97.891,38,CDXIG538 Curncy
15141,2022-06-21,US_HY,5Y,562.746,38,CDXHY538 BEST Curncy
15151,2022-06-22,US_IG,5Y,99.547,38,CDXIG538 Curncy
15152,2022-06-22,US_HY,3Y,576.948,38,CDXHY338 BEST Curncy
15153,2022-06-22,US_HY,5Y,561.944,38,CDXHY538 BEST Curncy
15154,2022-06-22,US_HY,7Y,602.553,38,CDXHY738 BEST Curncy
15155,2022-06-22,US_HY,10Y,604.887,38,CDXHY038 BEST Curncy
15164,2022-06-23,US_HY,3Y,576.827,38,CDXHY338 BEST Curncy
15163,2022-06-23,US_IG,5Y,99.122,38,CDXIG538 Curncy
15165,2022-06-23,US_HY,5Y,560.6755,38,CDXHY538 BEST Curncy
15166,2022-06-23,US_HY,7Y,597.292,38,CDXHY738 BEST Curncy
15167,2022-06-23,US_HY,10Y,599.377,38,CDXHY038 BEST Curncy
15178,2022-06-24,US_HY,7Y,561.898,38,CDXHY738 BEST Curncy
15177,2022-06-24,US_HY,5Y,530.1234,38,CDXHY538 BEST Curncy
15179,2022-06-24,US_HY,10Y,565.915,38,CDXHY038 BEST Curncy
15175,2022-06-24,US_IG,5Y,94.856,38,CDXIG538 Curncy
15176,2022-06-24,US_HY,3Y,576.818,38,CDXHY338 BEST Curncy
15189,2022-06-27,US_HY,5Y,529.9299,38,CDXHY538 BEST Curncy
15190,2022-06-27,US_HY,7Y,558.283,38,CDXHY738 BEST Curncy
15187,2022-06-27,US_IG,5Y,95.015,38,CDXIG538 Curncy
15188,2022-06-27,US_HY,3Y,577.023,38,CDXHY338 BEST Curncy
15191,2022-06-27,US_HY,10Y,562.692,38,CDXHY038 BEST Curncy
15203,2022-06-28,US_HY,10Y,584.263,38,CDXHY038 BEST Curncy
15202,2022-06-28,US_HY,7Y,581.409,38,CDXHY738 BEST Curncy
15199,2022-06-28,US_IG,5Y,98.773,38,CDXIG538 Curncy
15200,2022-06-28,US_HY,3Y,577.15,38,CDXHY338 BEST Curncy
15201,2022-06-28,US_HY,5Y,563.4791,38,CDXHY538 BEST Curncy
15211,2022-06-29,US_IG,5Y,100.025,38,CDXIG538 Curncy
15212,2022-06-29,US_HY,3Y,577.206,38,CDXHY338 BEST Curncy
15213,2022-06-29,US_HY,5Y,572.7876,38,CDXHY538 BEST Curncy
15214,2022-06-29,US_HY,7Y,607.289,38,CDXHY738 BEST Curncy
15215,2022-06-29,US_HY,10Y,608.181,38,CDXHY038 BEST Curncy
15223,2022-06-30,US_IG,5Y,100.988,38,CDXIG538 Curncy
15224,2022-06-30,US_HY,3Y,577.209,38,CDXHY338 BEST Curncy
15225,2022-06-30,US_HY,5Y,577.486,38,CDXHY538 BEST Curncy
15226,2022-06-30,US_HY,7Y,608.128,38,CDXHY738 BEST Curncy
15227,2022-06-30,US_HY,10Y,609.057,38,CDXHY038 BEST Curncy
15239,2022-07-01,US_HY,10Y,609.656,38,CDXHY038 BEST Curncy
15238,2022-07-01,US_HY,7Y,608.864,38,CDXHY738 BEST Curncy
15235,2022-07-01,US_IG,5Y,100.714,38,CDXIG538 Curncy
15236,2022-07-01,US_HY,3Y,577.158,38,CDXHY338 BEST Curncy
15237,2022-07-01,US_HY,5Y,577.0495,38,CDXHY538 BEST Curncy
15247,2022-07-04,US_IG,5Y,100.831,38,CDXIG538 Curncy
15248,2022-07-04,US_HY,3Y,577.189,38,CDXHY338 BEST Curncy
15249,2022-07-04,US_HY,5Y,578.4649,38,CDXHY538 BEST Curncy
15250,2022-07-04,US_HY,7Y,608.866,38,CDXHY738 BEST Curncy
15251,2022-07-04,US_HY,10Y,609.402,38,CDXHY038 BEST Curncy
15263,2022-07-05,US_HY,10Y,613.016,38,CDXHY038 BEST Curncy
15262,2022-07-05,US_HY,7Y,612.838,38,CDXHY738 BEST Curncy
15259,2022-07-05,US_IG,5Y,99.228,38,CDXIG538 Curncy
15260,2022-07-05,US_HY,3Y,577.292,38,CDXHY338 BEST Curncy
15261,2022-07-05,US_HY,5Y,573.4873,38,CDXHY538 BEST Curncy
